Unnamed: 0,id,game,team_name,total_kills,total_assists,total_deaths,total_gold,gold_min,total_damage,damage_min,red_buff,blue_buff,lord_kill,tortoise_kill,tower_destroy
0,https://ph-mpl.com/data/match/blck-bren-20220305,game1,BREN,7,12,15,"66,957","2,746","220,776","9,054",12,13,2,3,5
1,https://ph-mpl.com/data/match/blck-bren-20220305,game1,BLCK,15,37,7,"72,561","2,975","263,412","10,802",8,15,2,0,9
0,https://ph-mpl.com/data/match/blck-bren-20220305,game2,BREN,8,17,18,"69,330","2,788","284,719","11,449",9,5,2,3,5
1,https://ph-mpl.com/data/match/blck-bren-20220305,game2,BLCK,18,46,8,"74,403","2,992","361,052","14,519",13,18,2,0,9
0,https://ph-mpl.com/data/match/blck-bren-20220402,game1,BREN,21,42,13,"52,672","3,523","259,458","17,355",11,12,2,3,9
1,https://ph-mpl.com/data/match/blck-bren-20220402,game1,BLCK,13,25,21,"41,769","2,793","148,776","9,951",4,4,0,0,1
0,https://ph-mpl.com/data/match/blck-bren-20220402,game2,BREN,13,25,14,"40,726","2,909","166,316","11,879",7,10,1,3,6
1,https://ph-mpl.com/data/match/blck-bren-20220402,game2,BLCK,14,38,13,"45,865","3,276","181,823","12,987",6,4,1,0,7
0,https://ph-mpl.com/data/match/blck-bren-20220402,game3,BLCK,10,20,16,"65,330","2,880","255,184","11,249",10,7,1,2,7
1,https://ph-mpl.com/data/match/blck-bren-20220402,game3,BREN,16,41,10,"74,048","3,264","367,329","16,193",11,19,2,1,9
0,https://ph-mpl.com/data/match/blck-echo-20220227,game1,ECHO,13,33,13,"47,534","3,063","192,637","12,414",9,9,1,2,6
1,https://ph-mpl.com/data/match/blck-echo-20220227,game1,BLCK,13,38,13,"44,470","2,865","213,130","13,735",4,9,1,1,5
0,https://ph-mpl.com/data/match/blck-echo-20220227,game2,ECHO,20,50,6,"53,141","3,711","166,897","11,657",10,10,2,2,8
1,https://ph-mpl.com/data/match/blck-echo-20220227,game2,BLCK,6,13,20,"34,303","2,396","89,456","6,248",4,5,0,1,1
0,https://ph-mpl.com/data/match/blck-echo-20220327,game1,ECHO,16,28,4,"46,563","3,586","179,134","13,797",8,8,1,3,8
1,https://ph-mpl.com/data/match/blck-echo-20220327,game1,BLCK,4,9,16,"34,631","2,667","170,706","13,148",5,4,0,0,2
0,https://ph-mpl.com/data/match/blck-echo-20220327,game2,ECHO,25,64,5,"44,031","3,943","207,764","18,605",5,7,1,3,9
1,https://ph-mpl.com/data/match/blck-echo-20220327,game2,BLCK,5,10,25,"27,776","2,487","103,623","9,279",5,4,0,0,0
0,https://ph-mpl.com/data/match/blck-nxpe-20220225,game1,BLCK,8,14,14,"46,824","2,751","160,000","9,402",5,6,0,2,2
1,https://ph-mpl.com/data/match/blck-nxpe-20220225,game1,NXPE,14,37,8,"54,528","3,204","200,276","11,769",12,10,3,1,9
0,https://ph-mpl.com/data/match/blck-nxpe-20220225,game2,BLCK,16,50,11,"65,076","3,208","211,397","10,422",7,9,2,2,7
1,https://ph-mpl.com/data/match/blck-nxpe-20220225,game2,NXPE,11,29,16,"59,424","2,929","211,602","10,432",11,14,2,1,9
0,https://ph-mpl.com/data/match/blck-nxpe-20220225,game3,NXPE,11,33,1,"47,929","3,256","183,563","12,473",8,10,2,3,8
1,https://ph-mpl.com/data/match/blck-nxpe-20220225,game3,BLCK,1,2,11,"36,542","2,483","71,558","4,862",5,5,0,0,3
0,https://ph-mpl.com/data/match/blck-nxpe-20220325,game1,BLCK,16,28,11,"55,499","3,293","180,863","10,733",9,15,3,3,8
1,https://ph-mpl.com/data/match/blck-nxpe-20220325,game1,NXPE,11,26,16,"46,683","2,770","225,274","13,369",5,3,0,0,1
0,https://ph-mpl.com/data/match/blck-nxpe-20220325,game2,BLCK,12,26,22,"40,883","2,927","173,906","12,451",5,5,0,1,0
1,https://ph-mpl.com/data/match/blck-nxpe-20220325,game2,NXPE,22,48,13,"45,623","3,266","239,235","17,128",7,9,1,2,5
0,https://ph-mpl.com/data/match/blck-nxpe-20220325,game3,NXPE,4,10,16,"39,543","2,607","133,549","8,805",7,8,0,0,1
1,https://ph-mpl.com/data/match/blck-nxpe-20220325,game3,BLCK,16,43,4,"52,044","3,431","186,234","12,279",8,9,2,3,8
